grid_size,table,num_states,num_actions,success_rate,train_time,avg_eval_steps
10,array,100,4,1.0000,4.9673,18.0000
10,dict,100,4,1.0000,3.5626,18.0000
10,lru,100,4,1.0000,4.5202,18.0000
10,lfu,100,4,1.0000,4.9364,18.0000
10,timestamp,100,4,1.0000,4.5019,18.0000
20,array,400,4,1.0000,12.0703,38.0000
20,dict,400,4,1.0000,8.7437,38.0000
20,lru,400,4,1.0000,11.0617,38.0000
20,lfu,400,4,1.0000,12.3568,38.0000
20,timestamp,400,4,1.0000,11.3050,38.0000
30,array,900,4,1.0000,20.2262,58.0000
30,dict,900,4,1.0000,14.8699,58.0000
30,lru,900,4,1.0000,18.5297,58.0000
30,lfu,900,4,1.0000,21.1777,58.0000
30,timestamp,900,4,1.0000,19.0880,58.0000
40,array,1600,4,1.0000,41.2276,78.0000
40,dict,1600,4,1.0000,22.0149,78.0000
40,lru,1600,4,1.0000,26.5192,78.0000
40,lfu,1600,4,1.0000,31.6784,78.0000
40,timestamp,1600,4,1.0000,27.7577,78.0000
50,array,2500,4,1.0000,38.1780,98.0000
50,dict,2500,4,1.0000,28.3472,98.0000
50,lru,2500,4,1.0000,34.8450,98.0000
50,lfu,2500,4,1.0000,40.7285,98.0000
50,timestamp,2500,4,1.0000,35.9883,98.0000
